Loan.Id,Current.Loan.Amount,Term,Credit.Score,Years.in.current.job,Annual.Income,Monthly.Debt,Years.of.Credit.History,Number.of.Credit.Problems,Current.Credit.Balance,Maximum.Open.Credit,Loan.Status
1,1787900,0,739,6,953570,15098.2,34.4,0,239860,403130,1
2,10000000,1,619,6,544060,10654.5,12.7,0,229380,312500,1
3,10000000,0,738,1,404800,5734.7,32.7,1,39630,56690,1
4,1120000,0,738,4,539650,13581.1,15.8,1,117820,259510,1
5,360800,0,731,10,477090,3399.3,16.1,0,229090,255680,1
6,787700,0,738,5,477070,5049,14.5,1,18370,62690,1
7,473200,1,701,10,627210,2968.7,20.2,0,0,0,0
8,346900,0,735,5,251350,3548.3,9.1,0,36460,68400,0
9,1003100,0,712,6,1504650,11999.6,12.5,0,178850,225830,1
10,1407300,0,-1,4,-1,9951.5,26.8,0,145480,234650,1
11,2004400,0,741,3,912000,7037.6,14.9,0,205230,253690,1
12,1247300,0,-1,10,-1,8216,13.7,0,78760,107300,1
13,392000,0,-1,8,-1,4067.4,10.4,4,47760,75450,1
14,483600,0,723,10,755630,5856.1,13.4,0,223610,303410,1
15,616200,0,684,10,741540,10443.3,15.7,0,49670,143950,0
16,1553800,0,709,6,874790,12976.1,15,1,76870,145590,1
17,591700,0,745,6,690340,13530.7,18.5,0,181120,216900,0
18,506600,0,745,3,759830,13866.8,16.6,0,70220,326590,1
19,3259600,1,739,1,1756800,20788.8,19.6,0,190970,271270,1
20,540900,0,744,4,1406410,8907.3,19.1,0,164630,688820,1
21,1829500,1,692,10,518360,6220.4,38.4,0,186420,409710,1
22,494600,0,-1,6,-1,1309.3,12.7,0,37120,72220,1
23,497000,0,707,1,347900,4725.7,8,0,44430,77540,1
24,241200,0,739,8,256300,2819.3,12.5,1,72090,262130,1
25,2524500,1,711,5,686660,12474.4,14,0,162700,400740,1
26,489500,0,673,4,244730,5751,10.8,0,14140,113990,1
27,10000000,0,745,6,655270,8245.5,21.6,0,55550,94790,1
28,1186700,0,-1,1,-1,10615.8,12.1,0,143020,258160,0
29,975800,0,659,2,1073380,5125.4,10,0,25300,44870,1
30,1491800,0,744,10,616590,5497.9,19.4,0,110830,215620,1
31,1158800,1,718,5,637450,3500.7,9.2,0,34910,73180,0
32,2394200,0,718,10,847960,10952.8,15.5,0,38310,49880,1
33,815800,0,732,10,611880,11013.8,23,1,64360,115140,1
34,1007500,0,-1,5,-1,6743.5,14,0,112760,125990,0
35,1173200,0,743,1,537740,3844.8,22.5,1,126710,558200,1
36,3007800,1,695,10,1483850,16816.9,18.5,0,224690,724820,0
